SYMBOL,TIMESTAMP,CLOSE,TOTTRDQTY,moving_average
GICHSGFIN,16-NOV-2023,189.7,574012,129.97500000000022
GICRE,16-NOV-2023,241.95,8700572,215.82500000000022
GILLETTE,16-NOV-2023,6408.65,19424,3254.675
GIPCL,16-NOV-2023,151.05,668555,88.40000000000046
GLAND,16-NOV-2023,1615.25,167870,883.1500000000004
GLOBAL,16-NOV-2023,260.65,229783,132.40000000000043
GLOBUSSPR,16-NOV-2023,820.5,50476,455.70000000000044
GMBREW,16-NOV-2023,661.1,29995,646.9750000000005
GMMPFAUDLR,16-NOV-2023,1619.25,129098,1004.6250000000005
GNA,16-NOV-2023,421.9,67862,231.10000000000045
GNFC,16-NOV-2023,708.05,1679899,564.9750000000004
GOCLCORP,16-NOV-2023,540.35,69010,530.9000000000005
GOCOLORS,16-NOV-2023,1214.0,22356,877.1750000000005
GODFRYPHLP,16-NOV-2023,2087.3,30107,1650.6500000000005
GODREJCP,16-NOV-2023,979.8,1180174,728.6750000000004
GODREJPROP,16-NOV-2023,1853.3,504368,1259.5000000000005
GOKULAGRO,16-NOV-2023,117.45,325452,80.40000000000046
GOLDETF,16-NOV-2023,60.55,104237,55.970000000000454
GOLDIAM,16-NOV-2023,142.1,373375,101.32500000000044
GOODLUCK,16-NOV-2023,899.5,109925,475.4750000000005
GRANULES,16-NOV-2023,366.9,575239,252.30000000000044
GRAPHITE,16-NOV-2023,469.1,796397,418.00000000000045
GRASIM,16-NOV-2023,1942.6,950733,1205.8500000000004
GREENLAM,16-NOV-2023,542.9,134040,336.2250000000005
GRINDWELL,16-NOV-2023,2093.6,22013,1057.3250000000005
GROBTEA,16-NOV-2023,888.05,389,538.9500000000005
GRPLTD,16-NOV-2023,3971.2,277,2429.6250000000005
GRWRHITECH,16-NOV-2023,1442.6,29741,1113.0500000000004
GSFC,16-NOV-2023,180.65,2946908,102.81500000000045
GSLSU,16-NOV-2023,203.1,75302,191.87500000000045
GSPL,16-NOV-2023,275.25,705754,239.17500000000047
GTPL,16-NOV-2023,182.65,102219,91.90000000000046
GUFICBIO,16-NOV-2023,302.15,1003800,242.40000000000043
GUJALKALI,16-NOV-2023,727.05,47501,514.6000000000004
GUJGASLTD,16-NOV-2023,422.15,427881,319.02500000000043
GULFOILLUB,16-NOV-2023,614.05,130146,518.1000000000004
HAL,16-NOV-2023,2114.3,2450457,1155.2250000000006
HARIOMPIPE,16-NOV-2023,701.8,97146,371.02500000000043
HARSHA,16-NOV-2023,386.6,58403,268.50000000000045
HATSUN,16-NOV-2023,1101.95,14729,561.1250000000005
HAVELLS,16-NOV-2023,1279.15,598909,1190.5500000000006
HCG,16-NOV-2023,366.3,218066,198.50000000000045
HCLTECH,16-NOV-2023,1311.05,3936945,664.0000000000005
HDFCAMC,16-NOV-2023,2806.1,244348,2058.5750000000003
HDFCGOLD,16-NOV-2023,52.94,514955,40.52000000000068
HDFCGROWTH,16-NOV-2023,101.4,6765,77.17000000000068
HDFCLIFE,16-NOV-2023,634.95,1753550,368.1750000000007
HDFCLIQUID,16-NOV-2023,999.99,11,817.4700000000007
HDFCMID150,16-NOV-2023,15.57,64247,15.535000000000682
HDFCMOMENT,16-NOV-2023,24.1,8975,19.835000000000683
HDFCNEXT50,16-NOV-2023,47.01,1624,35.55500000000068
HDFCNIFBAN,16-NOV-2023,446.54,38297,233.2900000000007
HDFCPVTBAN,16-NOV-2023,231.96,1269,224.1050000000007
HDFCSENSEX,16-NOV-2023,726.66,4777,385.8700000000007
HDFCSML250,16-NOV-2023,129.95,222755,100.71000000000068
HECPROJECT,16-NOV-2023,53.35,9810,31.69000000000068
HEG,16-NOV-2023,1583.6,185416,818.4750000000006
HERANBA,16-NOV-2023,355.85,47503,247.87500000000068
HEROMOTOCO,16-NOV-2023,3280.05,963718,1757.8750000000007
HGINFRA,16-NOV-2023,857.7,108133,463.6500000000007
HGS,16-NOV-2023,949.65,30302,903.6750000000006
HIL,16-NOV-2023,2581.9,8789,1429.1500000000008
HIMATSEIDE,16-NOV-2023,170.3,2016142,156.8500000000007
HINDALCO,16-NOV-2023,504.3,4171759,337.3000000000007
HINDOILEXP,16-NOV-2023,170.65,778889,93.90000000000069
HINDPETRO,16-NOV-2023,320.25,9631950,245.45000000000067
HINDUNILVR,16-NOV-2023,2491.2,1420578,1405.7250000000006
HIRECT,16-NOV-2023,633.75,55112,468.6500000000007
HITECHCORP,16-NOV-2023,284.95,20837,200.10000000000068
HITECHGEAR,16-NOV-2023,496.55,1212925,390.7500000000007
HLEGLAS,16-NOV-2023,524.25,37160,510.40000000000066
HMAAGRO,16-NOV-2023,685.55,56604,354.70000000000067
HNDFDS,16-NOV-2023,537.45,42635,309.1250000000007
HOMEFIRST,16-NOV-2023,952.4,131444,608.8200000000006
HONAUT,16-NOV-2023,37006.65,8713,18669.425000000003
HPAL,16-NOV-2023,99.25,283789,78.30000000000364
HPL,16-NOV-2023,206.55,167020,152.90000000000364
HSCL,16-NOV-2023,255.5,1125365,231.02500000000364
HUBTOWN,16-NOV-2023,64.15,254113,44.42500000000364
HUDCO,16-NOV-2023,81.45,6856618,72.80000000000365
HUHTAMAKI,16-NOV-2023,312.7,521912,197.07500000000363
IBULHSGFIN,16-NOV-2023,186.5,15015955,134.62500000000367
ICEMAKE,16-NOV-2023,563.7,53962,375.10000000000366
ICICI5GSEC,16-NOV-2023,54.22,190,41.87500000000364
ICICIALPLV,16-NOV-2023,212.6,15147,133.41000000000363
ICICIBANK,16-NOV-2023,936.0,19706373,507.29000000000366
ICICIBANKP,16-NOV-2023,229.94,25039,137.25500000000363
ICICICONSU,16-NOV-2023,88.4,10574,77.54000000000364
ICICIFMCG,16-NOV-2023,541.32,8170,281.34000000000367
ICICIGI,16-NOV-2023,1399.6,439134,970.4600000000037
ICICIINFRA,16-NOV-2023,65.4,11334,59.180000000003645
ICICILIQ,16-NOV-2023,999.99,1516856,532.6950000000037
ICICINF100,16-NOV-2023,217.65,3986,121.05500000000364
ICICIPHARM,16-NOV-2023,100.64,21517,74.38500000000363
ICICIPRULI,16-NOV-2023,548.2,1427904,324.42000000000365
ICICISENSX,16-NOV-2023,735.94,3840,451.7600000000037
ICIL,16-NOV-2023,287.55,486738,160.78500000000363
ICRA,16-NOV-2023,5520.1,3399,2903.825000000004
IDEAFORGE,16-NOV-2023,805.3,83729,409.8500000000036
IDFNIFTYET,16-NOV-2023,212.25,375,150.32500000000363
IFBAGRO,16-NOV-2023,462.15,16598,299.12500000000364
IFBIND,16-NOV-2023,983.15,184958,722.6500000000035
IFGLEXPOR,16-NOV-2023,688.5,46384,356.7500000000036
IGPL,16-NOV-2023,442.2,15012,415.1500000000036
IIFL,16-NOV-2023,642.3,326792,542.2500000000036
IKIO,16-NOV-2023,353.8,571146,236.2750000000036
IMFA,16-NOV-2023,473.15,152649,262.6750000000036
IMPAL,16-NOV-2023,838.75,2451,655.9500000000036
INDIAGLYCO,16-NOV-2023,699.8,44082,459.67500000000354
INDIAMART,16-NOV-2023,2602.05,237131,1650.9250000000036
INDIGO,16-NOV-2023,2567.2,589877,1405.0750000000035
INDOBORAX,16-NOV-2023,150.55,83496,131.60000000000366
INDOCO,16-NOV-2023,334.6,41041,242.57500000000368
INDOTHAI,16-NOV-2023,225.45,1801,140.72500000000366
INDUSINDBK,16-NOV-2023,1498.65,2728834,778.6000000000037
INFOBEAN,16-NOV-2023,413.0,15608,217.32500000000363
INFRABEES,16-NOV-2023,665.26,5307,335.43000000000364
INFY,16-NOV-2023,1444.9,6673907,1055.0800000000036
INGERRAND,16-NOV-2023,2954.0,13364,2199.4500000000035
INOXWIND,16-NOV-2023,251.9,2234088,160.7000000000034
INSECTICID,16-NOV-2023,524.95,34488,388.4250000000034
INTELLECT,16-NOV-2023,694.85,290698,394.2000000000034
IOB,16-NOV-2023,41.15,11897403,21.67500000000341
IOC,16-NOV-2023,104.1,43421272,72.62500000000341
IOLCP,16-NOV-2023,426.55,149581,265.3250000000034
IONEXCHANG,16-NOV-2023,575.3,187406,500.92500000000337
IPCALAB,16-NOV-2023,1071.85,337724,823.5750000000033
IRCON,16-NOV-2023,154.65,5339739,95.17500000000342
IRCTC,16-NOV-2023,679.65,1042850,417.1500000000034
IRIS,16-NOV-2023,122.9,61022,98.00000000000347
IRMENERGY,16-NOV-2023,450.2,549277,267.1750000000035
ISEC,16-NOV-2023,693.3,767792,571.7500000000034
ISGEC,16-NOV-2023,785.55,193626,456.35000000000343
ITC,16-NOV-2023,438.65,10857863,236.34500000000347
ITI,16-NOV-2023,266.7,962093,151.46000000000345
IVP,16-NOV-2023,186.95,31350,98.35000000000346
IVZINGOLD,16-NOV-2023,5398.95,136,2792.9500000000035
IWEL,16-NOV-2023,3227.5,6878,2718.9150000000036
JAGSNPHARM,16-NOV-2023,394.2,11234,246.72500000000363
JAMNAAUTO,16-NOV-2023,111.35,793513,95.57500000000363
JASH,16-NOV-2023,1326.25,10107,718.8000000000036
JAYSREETEA,16-NOV-2023,98.4,180522,70.72500000000363
JBCHEPHARM,16-NOV-2023,1502.55,56819,800.4750000000037
JHS,16-NOV-2023,27.85,1021754,20.025000000003637
JINDALPHOT,16-NOV-2023,681.8,17396,354.8250000000036
JINDALSTEL,16-NOV-2023,647.2,857041,569.0750000000037
JINDRILL,16-NOV-2023,682.55,48669,664.8750000000036
JKCEMENT,16-NOV-2023,3480.95,84887,1773.4000000000035
JKLAKSHMI,16-NOV-2023,797.7,321847,613.1250000000036
JLHL,16-NOV-2023,998.25,31099,674.2500000000036
JMFINANCIL,16-NOV-2023,85.15,8918462,82.10000000000363
JOCIL,16-NOV-2023,213.2,19645,149.17500000000362
JPOLYINVST,16-NOV-2023,693.7,20466,357.00000000000364
JSL,16-NOV-2023,477.25,1790940,246.02500000000364
JSWHL,16-NOV-2023,4575.65,1818,2486.3000000000034
JSWSTEEL,16-NOV-2023,769.15,1699954,485.97500000000366
JTLIND,16-NOV-2023,214.65,834172,175.92500000000365
JUBLFOOD,16-NOV-2023,527.35,3415182,371.00000000000364
JUBLINDS,16-NOV-2023,604.9,9708,566.1250000000036
JUNIORBEES,16-NOV-2023,494.86,118278,457.5050000000037
JUSTDIAL,16-NOV-2023,702.35,125564,598.6050000000037
JYOTHYLAB,16-NOV-2023,439.2,1762719,376.4500000000037
KAJARIACER,16-NOV-2023,1288.15,78485,859.6750000000037
KALAMANDIR,16-NOV-2023,277.9,1636912,249.90000000000362
KALYANKJIL,16-NOV-2023,313.5,6635212,295.7000000000036
KAMDHENU,16-NOV-2023,297.65,162175,247.95000000000363
KANORICHEM,16-NOV-2023,129.2,251240,68.37500000000364
KANSAINER,16-NOV-2023,317.9,339349,218.17500000000362
KARURVYSYA,16-NOV-2023,157.9,2096568,109.52500000000364
KAYA,16-NOV-2023,350.15,6419,181.90000000000362
KAYNES,16-NOV-2023,2494.45,99954,1422.3000000000036
KCP,16-NOV-2023,143.4,510231,72.85000000000365
KDDL,16-NOV-2023,2866.9,16746,1505.1500000000037
KEI,16-NOV-2023,2666.4,327435,1392.6250000000036
KESORAMIND,16-NOV-2023,109.3,1287974,96.70000000000363
KFINTECH,16-NOV-2023,526.3,393750,317.8000000000036
KICL,16-NOV-2023,2784.2,1140,1403.8750000000036
KINGFA,16-NOV-2023,2255.55,4152,2059.300000000004
KIRLOSBROS,16-NOV-2023,879.35,49200,575.7750000000037
KIRLOSIND,16-NOV-2023,3185.6,1513,1863.2250000000035
KKCL,16-NOV-2023,784.6,17851,496.9250000000039
KNRCON,16-NOV-2023,283.15,5431112,157.90000000000384
KOKUYOCMLN,16-NOV-2023,151.25,153125,94.97500000000386
